# wavelength[A] tau flux flux_error
3.079200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.080000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.080800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.081600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.082400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.083200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.084000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.084800e+03 1.192967e-09 1.000000e+00 1.000000e-01
3.085600e+03 8.397180e-10 1.000000e+00 1.000000e-01
3.086400e+03 5.677086e-11 1.000000e+00 1.000000e-01
3.087200e+03 1.315733e-09 1.000000e+00 1.000000e-01
3.088000e+03 3.016594e-11 1.000000e+00 1.000000e-01
3.088800e+03 6.257065e-10 1.000000e+00 1.000000e-01
3.089600e+03 2.456510e-15 1.000000e+00 1.000000e-01
3.090400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.091200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.092000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.092800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.093600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.094400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.095200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.096000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.096800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.097600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.098400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.099200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.100000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.100800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.101600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.102400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.103200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.104000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.104800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.105600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.106400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.107200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.108000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.108800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.109600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.110400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.111200e+03 7.581668e-03 9.924470e-01 9.962163e-02
3.112000e+03 8.845652e-01 4.128937e-01 6.425680e-02
3.112800e+03 6.079094e-02 9.410200e-01 9.700618e-02
3.113600e+03 3.876992e-04 9.996124e-01 9.998062e-02
3.114400e+03 2.217531e-08 1.000000e+00 1.000000e-01
3.115200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.116000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.116800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.117600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.118400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.119200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.120000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.120800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.121600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.122400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.123200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.124000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.124800e+03 1.771910e-09 1.000000e+00 1.000000e-01
3.125600e+03 3.155423e-07 9.999997e-01 9.999998e-02
3.126400e+03 9.654494e-02 9.079691e-01 9.528741e-02
3.127200e+03 1.993846e-01 8.192348e-01 9.051159e-02
3.128000e+03 2.549833e-05 9.999745e-01 9.999873e-02
3.128800e+03 7.630720e-06 9.999924e-01 9.999962e-02
3.129600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.130400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.131200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.132000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.132800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.133600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.134400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.135200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.136000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.136800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.137600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.138400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.139200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.140000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.140800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.141600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.142400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.143200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.144000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.144800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.145600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.146400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.147200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.148000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.148800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.149600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.150400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.151200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.152000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.152800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.153600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.154400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.155200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.156000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.156800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.157600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.158400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.159200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.160000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.160800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.161600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.162400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.163200e+03 3.066589e-11 1.000000e+00 1.000000e-01
3.164000e+03 5.064413e-09 1.000000e+00 1.000000e-01
3.164800e+03 2.391586e-08 1.000000e+00 1.000000e-01
3.165600e+03 3.860608e-13 1.000000e+00 1.000000e-01
3.166400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.167200e+03 3.038405e-03 9.969662e-01 9.984820e-02
3.168000e+03 2.633715e-02 9.740067e-01 9.869178e-02
3.168800e+03 9.138779e-07 9.999991e-01 9.999995e-02
3.169600e+03 1.618850e-07 9.999998e-01 9.999999e-02
3.170400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.171200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.172000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.172800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.173600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.174400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.175200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.176000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.176800e+03 6.098382e-07 9.999994e-01 9.999997e-02
3.177600e+03 8.830009e-11 1.000000e+00 1.000000e-01
3.178400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.179200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.180000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.180800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.181600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.182400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.183200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.184000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.184800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.185600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.186400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.187200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.188000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.188800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.189600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.190400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.191200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.192000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.192800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.193600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.194400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.195200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.196000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.196800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.197600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.198400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.199200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.200000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.200800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.201600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.202400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.203200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.204000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.204800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.205600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.206400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.207200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.208000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.208800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.209600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.210400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.211200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.212000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.212800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.213600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.214400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.215200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.216000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.216800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.217600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.218400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.219200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.220000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.220800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.221600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.222400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.223200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.224000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.224800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.225600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.226400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.227200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.228000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.228800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.229600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.230400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.231200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.232000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.232800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.233600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.234400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.235200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.236000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.236800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.237600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.238400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.239200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.240000e+03 3.266004e-05 9.999673e-01 9.999837e-02
3.240800e+03 6.483988e-05 9.999352e-01 9.999676e-02
3.241600e+03 4.905732e-10 1.000000e+00 1.000000e-01
3.242400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.243200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.244000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.244800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.245600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.246400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.247200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.248000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.248800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.249600e+03 1.974347e-05 9.999803e-01 9.999901e-02
3.250400e+03 6.161322e-05 9.999384e-01 9.999692e-02
3.251200e+03 3.271394e-05 9.999673e-01 9.999836e-02
3.252000e+03 1.644213e-10 1.000000e+00 1.000000e-01
3.252800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.253600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.254400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.255200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.256000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.256800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.257600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.258400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.259200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.260000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.260800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.261600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.262400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.263200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.264000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.264800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.265600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.266400e+03 5.936372e-08 9.999999e-01 1.000000e-01
3.267200e+03 7.387369e-06 9.999926e-01 9.999963e-02
3.268000e+03 4.400389e-05 9.999560e-01 9.999780e-02
3.268800e+03 6.513319e-05 9.999349e-01 9.999674e-02
3.269600e+03 1.519552e-09 1.000000e+00 1.000000e-01
3.270400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.271200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.272000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.272800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.273600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.274400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.275200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.276000e+03 5.967038e-08 9.999999e-01 1.000000e-01
3.276800e+03 2.671843e-10 1.000000e+00 1.000000e-01
3.277600e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.278400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.279200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.280000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.280800e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.281600e+03 3.273692e-01 7.208175e-01 8.490097e-02
3.282400e+03 2.469351e+00 8.463978e-02 2.909292e-02
