Name;Dataset;z;seed
QSO_148;RD0165;2.6;12061950
QSO_149;RD0165;2.6;12061951
QSO_150;RD0165;2.6;12061952
QSO_151;RD0165;2.65;12061943
QSO_152;RD0165;2.65;12061944
QSO_153;RD0165;2.65;12061945
QSO_154;RD0165;2.65;12061946
QSO_155;RD0165;2.65;12061947
QSO_156;RD0165;2.65;12061948
QSO_157;RD0165;2.65;12061949
QSO_158;RD0165;2.65;12061950
QSO_159;RD0165;2.65;12061951
QSO_160;RD0165;2.65;12061952
QSO_161;RD0165;2.7;12061943
QSO_162;RD0165;2.7;12061944
QSO_163;RD0165;2.7;12061945
QSO_164;RD0165;2.7;12061946
QSO_165;RD0165;2.7;12061947
QSO_166;RD0165;2.7;12061948
QSO_167;RD0165;2.7;12061949
QSO_168;RD0165;2.7;12061950
QSO_169;RD0165;2.7;12061951
QSO_170;RD0165;2.7;12061952
QSO_171;RD0165;2.75;12061943
QSO_172;RD0165;2.75;12061944
QSO_173;RD0165;2.75;12061945
QSO_174;RD0165;2.75;12061946
QSO_175;RD0165;2.75;12061947
QSO_176;RD0165;2.75;12061948
QSO_177;RD0165;2.75;12061949
QSO_178;RD0165;2.75;12061950
QSO_179;RD0165;2.75;12061951
QSO_180;RD0165;2.75;12061952
QSO_181;RD0165;2.8;12061943
QSO_182;RD0165;2.8;12061944
QSO_183;RD0165;2.8;12061945
QSO_184;RD0165;2.8;12061946
QSO_185;RD0165;2.8;12061947
QSO_186;RD0165;2.8;12061948
QSO_187;RD0165;2.8;12061949
QSO_188;RD0165;2.8;12061950
QSO_189;RD0165;2.8;12061951
QSO_190;RD0165;2.8;12061952
QSO_191;RD0165;2.85;12061943
QSO_192;RD0165;2.85;12061944
QSO_193;RD0165;2.85;12061945
QSO_194;RD0165;2.85;12061946
QSO_195;RD0165;2.85;12061947
QSO_196;RD0165;2.85;12061948
QSO_197;RD0165;2.85;12061949
QSO_198;RD0165;2.85;12061950
QSO_199;RD0165;2.85;12061951
QSO_200;RD0165;2.85;12061952
QSO_201;RD0165;2.9;12061943
QSO_202;RD0165;2.9;12061944
QSO_203;RD0165;2.9;12061945
QSO_204;RD0165;2.9;12061946
QSO_205;RD0165;2.9;12061947
QSO_206;RD0165;2.9;12061948
QSO_207;RD0165;2.9;12061949
QSO_208;RD0165;2.9;12061950
QSO_209;RD0165;2.9;12061951
QSO_210;RD0165;2.9;12061952
QSO_211;RD0165;2.95;12061943
QSO_212;RD0165;2.95;12061944
QSO_213;RD0165;2.95;12061945
QSO_214;RD0165;2.95;12061946
QSO_215;RD0165;2.95;12061947
QSO_216;RD0165;2.95;12061948
QSO_217;RD0165;2.95;12061949
QSO_218;RD0165;2.95;12061950
QSO_219;RD0165;2.95;12061951
QSO_220;RD0165;2.95;12061952
QSO_221;RD0165;3;12061943
QSO_222;RD0165;3;12061944
QSO_223;RD0165;3;12061945
QSO_224;RD0165;3;12061946
QSO_225;RD0165;3;12061947
QSO_226;RD0165;3;12061948
QSO_227;RD0165;3;12061949
QSO_228;RD0165;3;12061950
QSO_229;RD0165;3;12061951
QSO_230;RD0165;3;12061952
QSO_231;RD0165;3.05;12061943
QSO_232;RD0165;3.05;12061944
QSO_233;RD0165;3.05;12061945
QSO_234;RD0165;3.05;12061946
QSO_235;RD0165;3.05;12061947
QSO_236;RD0165;3.05;12061948
QSO_237;RD0165;3.05;12061949
QSO_238;RD0165;3.05;12061950
QSO_239;RD0165;3.05;12061951
QSO_240;RD0165;3.05;12061952
QSO_241;RD0165;3.1;12061943
QSO_242;RD0165;3.1;12061944
QSO_243;RD0165;3.1;12061945
QSO_244;RD0165;3.1;12061946
QSO_245;RD0165;3.1;12061947
QSO_246;RD0165;3.1;12061948
QSO_247;RD0165;3.1;12061949
QSO_248;RD0165;3.1;12061950
QSO_249;RD0165;3.1;12061951
QSO_250;RD0165;3.1;12061952
QSO_251;RD0165;3.15;12061943
QSO_252;RD0165;3.15;12061944
QSO_253;RD0165;3.15;12061945
QSO_254;RD0165;3.15;12061946
QSO_255;RD0165;3.15;12061947
QSO_256;RD0165;3.15;12061948
QSO_257;RD0165;3.15;12061949
QSO_258;RD0165;3.15;12061950
QSO_259;RD0165;3.15;12061951
QSO_260;RD0165;3.15;12061952
QSO_261;RD0165;3.2;12061943
QSO_262;RD0165;3.2;12061944
QSO_263;RD0165;3.2;12061945
QSO_264;RD0165;3.2;12061946
QSO_265;RD0165;3.2;12061947
QSO_266;RD0165;3.2;12061948
QSO_267;RD0165;3.2;12061949
QSO_268;RD0165;3.2;12061950
QSO_269;RD0165;3.2;12061951
QSO_270;RD0165;3.2;12061952
QSO_271;RD0165;3.25;12061943
QSO_272;RD0165;3.25;12061944
QSO_273;RD0165;3.25;12061945
QSO_274;RD0165;3.25;12061946
QSO_275;RD0165;3.25;12061947
QSO_276;RD0165;3.25;12061948
QSO_277;RD0165;3.25;12061949
QSO_278;RD0165;3.25;12061950
QSO_279;RD0165;3.25;12061951
QSO_280;RD0165;3.25;12061952
QSO_281;RD0165;3.3;12061943
QSO_282;RD0165;3.3;12061944
QSO_283;RD0165;3.3;12061945
QSO_284;RD0165;3.3;12061946
QSO_285;RD0165;3.3;12061947
QSO_286;RD0165;3.3;12061948
QSO_287;RD0165;3.3;12061949
QSO_288;RD0165;3.3;12061950
QSO_289;RD0165;3.3;12061951
QSO_290;RD0165;3.3;12061952
QSO_291;RD0165;3.35;12061943
QSO_292;RD0165;3.35;12061944
QSO_293;RD0165;3.35;12061945
QSO_294;RD0165;3.35;12061946
QSO_295;RD0165;3.35;12061947
QSO_296;RD0165;3.35;12061948
QSO_297;RD0165;3.35;12061949
QSO_298;RD0165;3.35;12061950
QSO_299;RD0165;3.35;12061951
QSO_300;RD0165;3.35;12061952
QSO_301;RD0165;3.4;12061943
QSO_302;RD0165;3.4;12061944
QSO_303;RD0165;3.4;12061945
QSO_304;RD0165;3.4;12061946
QSO_305;RD0165;3.4;12061947
QSO_306;RD0165;3.4;12061948
QSO_307;RD0165;3.4;12061949
QSO_308;RD0165;3.4;12061950
QSO_309;RD0165;3.4;12061951
QSO_310;RD0165;3.4;12061952
QSO_311;RD0165;3.45;12061943
QSO_312;RD0165;3.45;12061944
QSO_313;RD0165;3.45;12061945
QSO_314;RD0165;3.45;12061946
