z     ndz_pdf      ndz_cum
4.54  0.99502573   238841
4.55  0.99510488   238860
4.56  0.99518404   238879
4.57  0.99526319   238898
4.58  0.99532152   238912
4.59  0.99540900   238933
4.60  0.99542983   238938
4.61  0.99547983   238950
4.62  0.99554648   238966
4.63  0.99559648   238978
4.64  0.99563814   238988
4.65  0.99567146   238996
4.66  0.99573396   239011
4.67  0.99581311   239030
4.68  0.99586310   239042
4.69  0.99595059   239063
4.70  0.99600058   239075
4.71  0.99605474   239088
4.72  0.99609224   239097
4.73  0.99614223   239109
4.74  0.99621305   239126
4.75  0.99625055   239135
4.76  0.99629637   239146
4.77  0.99634220   239157
4.78  0.99643385   239179
4.79  0.99647551   239189
4.80  0.99652967   239202
4.81  0.99658383   239215
4.82  0.99663799   239228
4.83  0.99667132   239236
4.84  0.99671298   239246
4.85  0.99675881   239257
4.86  0.99682546   239273
4.87  0.99688379   239287
4.88  0.99692128   239296
4.89  0.99696294   239306
4.90  0.99700044   239315
4.91  0.99703377   239323
4.92  0.99708792   239336
4.93  0.99713375   239347
4.94  0.99716708   239355
4.95  0.99718791   239360
4.96  0.99720457   239364
4.97  0.99722124   239368
4.98  0.99722957   239370
4.99  0.99724623   239374
5.00  0.99726707   239379
5.01  0.99729206   239385
5.02  0.99732122   239392
5.03  0.99733789   239396
5.04  0.99737955   239406
5.05  0.99742121   239416
5.06  0.99742954   239418
5.07  0.99749203   239433
5.08  0.99750453   239436
5.09  0.99752536   239441
5.10  0.99755036   239447
5.11  0.99755452   239448
5.12  0.99757535   239453
5.13  0.99760035   239459
5.14  0.99763784   239468
5.15  0.99766284   239474
5.16  0.99769200   239481
5.17  0.99770450   239484
5.18  0.99772117   239488
5.19  0.99774616   239494
5.20  0.99777532   239501
5.21  0.99778366   239503
5.22  0.99780865   239509
5.23  0.99782948   239514
5.24  0.99785031   239519
5.25  0.99786281   239522
5.26  0.99787531   239525
5.27  0.99788781   239528
5.28  0.99789614   239530
5.29  0.99790447   239532
5.30  0.99792114   239536
5.31  0.99793780   239540
5.32  0.99795030   239543
5.33  0.99797113   239548
5.34  0.99799196   239553
5.35  0.99801279   239558
5.36  0.99801696   239559
5.37  0.99803362   239563
5.38  0.99805028   239567
5.39  0.99807111   239572
5.40  0.99808778   239576
5.41  0.99809194   239577
5.42  0.99810444   239580
5.43  0.99811694   239583
5.44  0.99812944   239586
5.45  0.99813361   239587
5.46  0.99814610   239590
5.47  0.99816277   239594
5.48  0.99817110   239596
5.49  0.99817527   239597
5.50  0.99817943   239598
5.51  0.99819610   239602
5.52  0.99820859   239605
5.53  0.99820859   239605
5.54  0.99822109   239608
5.55  0.99823359   239611
5.56  0.99824192   239613
5.57  0.99825026   239615
5.58  0.99826692   239619
5.59  0.99827109   239620
5.60  0.99828775   239624
5.61  0.99830025   239627
5.62  0.99830441   239628
5.63  0.99832108   239632
5.64  0.99834607   239638
5.65  0.99836274   239642
5.66  0.99837940   239646
5.67  0.99841273   239654
5.68  0.99843773   239660
5.69  0.99845439   239664
5.70  0.99847522   239669
5.71  0.99850438   239676
5.72  0.99852522   239681
5.73  0.99853771   239684
5.74  0.99855021   239687
5.75  0.99858354   239695
5.76  0.99859187   239697
5.77  0.99861687   239703
5.78  0.99862520   239705
5.79  0.99865020   239711
5.80  0.99866270   239714
5.81  0.99869186   239721
5.82  0.99871269   239726
5.83  0.99872519   239729
5.84  0.99874185   239733
5.85  0.99875851   239737
5.86  0.99878351   239743
5.87  0.99879601   239746
5.88  0.99881684   239751
5.89  0.99882517   239753
5.90  0.99883350   239755
5.91  0.99883350   239755
5.92  0.99883767   239756
5.93  0.99884600   239758
5.94  0.99884600   239758
5.95  0.99884600   239758
5.96  0.99885433   239760
5.97  0.99887100   239764
5.98  0.99888350   239767
5.99  0.99889599   239770
6.00  0.99890433   239772
6.01  0.99892099   239776
6.02  0.99893349   239779
6.03  0.99893765   239780
6.04  0.99893765   239780
6.05  0.99894599   239782
6.06  0.99895849   239785
6.07  0.99896682   239787
6.08  0.99898348   239791
6.09  0.99899181   239793
6.10  0.99899598   239794
6.11  0.99900848   239797
6.12  0.99900848   239797
6.13  0.99903347   239803
6.14  0.99903764   239804
6.15  0.99904597   239806
6.16  0.99905430   239808
6.17  0.99906264   239810
6.18  0.99906680   239811
6.19  0.99907097   239812
6.20  0.99907513   239813
6.21  0.99908347   239815
6.22  0.99908347   239815
6.23  0.99908763   239816
6.24  0.99908763   239816
6.25  0.99910013   239819
6.26  0.99910430   239820
6.27  0.99911680   239823
6.28  0.99913346   239827
6.29  0.99915012   239831
6.30  0.99915429   239832
6.31  0.99915429   239832
6.32  0.99915429   239832
6.33  0.99915846   239833
6.34  0.99916262   239834
6.35  0.99916679   239835
6.36  0.99917512   239837
6.37  0.99918762   239840
6.38  0.99920012   239843
6.39  0.99920428   239844
6.40  0.99921261   239846
6.41  0.99922095   239848
6.42  0.99923345   239851
6.43  0.99924594   239854
6.44  0.99925011   239855
6.45  0.99927927   239862
6.46  0.99930010   239867
6.47  0.99930843   239869
6.48  0.99932093   239872
6.49  0.99932510   239873
6.50  0.99933760   239876
6.51  0.99934593   239878
6.52  0.99936259   239882
6.53  0.99937093   239884
6.54  0.99939592   239890
6.55  0.99941259   239894
6.56  0.99943758   239900
6.57  0.99944175   239901
6.58  0.99945425   239904
6.59  0.99946674   239907
6.60  0.99947924   239910
6.61  0.99949591   239914
6.62  0.99949591   239914
6.63  0.99950841   239917
6.64  0.99951674   239919
6.65  0.99952507   239921
6.66  0.99954590   239926
6.67  0.99955840   239929
6.68  0.99956256   239930
6.69  0.99957506   239933
6.70  0.99958756   239936
6.71  0.99960839   239941
6.72  0.99962505   239945
6.73  0.99962922   239946
6.74  0.99962922   239946
6.75  0.99963339   239947
6.76  0.99963755   239948
6.77  0.99964588   239950
6.78  0.99965422   239952
6.79  0.99966255   239954
6.80  0.99967088   239956
6.81  0.99967088   239956
6.82  0.99967088   239956
6.83  0.99967088   239956
6.84  0.99967088   239956
6.85  0.99967921   239958
6.86  0.99969171   239961
6.87  0.99969588   239962
6.88  0.99970421   239964
6.89  0.99971254   239966
6.90  0.99971671   239967
6.91  0.99972504   239969
6.92  0.99974170   239973
6.93  0.99975004   239975
6.94  0.99976670   239979
6.95  0.99979170   239985
6.96  0.99980420   239988
6.97  0.99980836   239989
6.98  0.99982503   239993
6.99  0.99983336   239995
7.00  0.99984586   239998
7.01  0.99990001   240011
7.02  1.00000000   240035
