z_max		 name	 galaxy_pos_x 	     galaxy_pos_y	 galaxy_pos_z	     rho_max
9.6597912613927  RD0055  4002.0940181084050  4085.5088500078290  4005.7348227419693  7.697857287016012
9.2269916470333  RD0060  4168.2911754276320  4260.1811993315940  4175.6346760867870  9.969128404062213
9.1419915889082  RD0061  4202.4320860794900  4296.6644121051170  4210.7703521853890  10.066661684631823
9.0582917167547  RD0062  4236.7453281252840  4333.1070227476200  4246.1152449559110  10.328693164820672
8.9999942129972  RD0063  4261.1201511703660  4358.6131020944080  4271.1972314905430  10.360387665761039
8.9760976177094  RD0064  4271.2116953342740  4369.1647626289300  4281.5753471032980  10.451524003178159
8.8931917960193  RD0065  4306.6805553364860  4406.4944948745350  4317.7496022228820  10.542946474180043
8.8115919247802  RD0066  4342.1132104789860  4443.2390907127730  4353.9787861695120  10.631798093783601
8.7313920625196  RD0067  4377.5392685252210  4479.8953609130840  4390.2304273500320  11.084929785579407
8.6505920041932  RD0068  4414.1495244905310  4517.5705345514960  4427.3822536849820  10.921024364146582
8.5711921422878  RD0069  4450.7537837715590  4555.3894069971720  4464.4845867235070  11.363847161126003
8.4921921819391  RD0070  4487.7245298350690  4593.9584782925010  4501.9913844245850  11.290507970990017
8.4134922121728  RD0071  4524.8505474298960  4633.2814352438850  4539.9507687081980  11.504160312849324
8.3361923498816  RD0072  4561.8712393044210  4672.6541379026910  4577.8287357104890  11.663897682977396
8.2592923894579  RD0073  4598.9232880710100  4712.5756415070255  4616.1207311168980  11.873077986655193
8.1826924198018  RD0074  4636.2174150975590  4753.1004556816150  4654.9510239026480  12.193622855129476
8.1065924692177  RD0075  4674.0317500651270  4794.2507971170760  4694.2274163405930  12.583033151093604
8.0317925973849  RD0076  4712.4175706767730  4835.2512326370315  4733.4065406684980  12.347200094211093
8.0000968445394  RD0077  4729.0063023953500  4852.7385186433220  4750.2937451082220  12.56270609668378
7.9573957555987  RD0078  4751.5635494593230  4876.4641166272195  4773.1784971122580  12.513620724581397
7.8833926763339  RD0079  4790.8246326456840  4918.1944652942810  4813.2826666157090  12.879468013771303
7.8105927951406  RD0080  4829.5715454285760  4960.3510317439300  4853.6542685962600  12.926888801813694
7.7373927563427  RD0081  4869.8399245666170  5003.0627770355080  4895.1291874009480  13.134388021170999
7.6654928845141  RD0082  4909.8394588500370  5045.8077543037920  4936.2596483511640  13.58656984152879
7.5939929241901  RD0083  4949.8331760148300  5088.6042827166875  4977.9372713520170  13.495376692778825
7.5229929734813  RD0084  4989.8590418823370  5131.7611307072660  5020.2330481656970  13.850328467845445
7.4530930821942  RD0085  5030.4137111939670  5174.9694091071815  5062.5410799712320  13.97827012648798
7.3828930531443  RD0086  5071.8495613200740  5219.2695703302300  5105.2393668846550  14.250789229000215
7.3138931715183  RD0087  5113.4145075372850  5263.4925544156010  5147.5752085645470  14.34021193611189
7.2453932209534  RD0088  5155.6971158205850  5307.9606532698670  5190.4077585816740  14.638365716016098
7.1772932603986  RD0089  5198.5035547309360  5352.8959916800010  5233.5056838869620  14.894724558855884
7.1095933005624  RD0090  5241.6242108583360  5398.2036558390520  5277.2972349820375  14.941202538294386
7.0430934183956  RD0091  5284.3625432260960  5443.7851697311990  5320.7862596072830  15.133452135088287
6.9999957194663  RD0092  5312.4430559763630  5473.7722577137840  5349.7316855673525  15.191003251444819
6.9763976491150  RD0093  5328.0178525127585  5490.3411562455600  5365.7525290969560  15.450724270705193
6.9107935073922  RD0094  5371.2069423431730  5536.8783952540850  5410.3665971361130  15.610133542827203
6.8455935471956  RD0095  5414.3554891749550  5583.9647182812170  5455.5737281955120  15.669958672306596
6.7808935971673  RD0096  5458.0638847032550  5631.4203724372780  5501.3447084712010  15.827305507481741
6.7165936365877  RD0097  5503.0081343570760  5679.4914631693120  5548.0643652430030  16.195795941806384
6.6528936961927  RD0098  5548.2589011488650  5727.8370720949515  5595.2703262888600  16.576296693981785
6.5895937357672  RD0099  5593.8969771155425  5776.7846873876370  5643.0252731683580  16.919957970960677
6.5272938338839  RD0100  5639.4365934485380  5825.9548608547175  5690.7709567304490  16.873406695212523
6.4648938250999  RD0101  5686.6960928382105  5876.1167388838640  5739.0036647878860  17.41549133856519
6.4035939330397  RD0102  5733.6108992435200  5926.5242901172480  5787.5666535291280  17.674800270401853
6.3426939730505  RD0103  5780.5631558685345  5977.2900274122530  5836.1618210210050  17.925343712625768
6.2816939636138  RD0104  5828.4598716058920  6029.0656710713680  5885.5369078030700  18.026648822887132
6.2217940714783  RD0105  5876.2761136528020  6080.8577272837000  5934.7883475301530  18.363371813224912
6.1622941116921  RD0106  5924.2971833621230  6132.9742154864425  5984.4108226706760  18.683401377953125
6.1032941608005  RD0107  5972.8906962881070  6184.8235234621790  6034.8440668376330  18.753555742717907
6.0446942008337  RD0108  6021.4841869482280  6237.8008699083030  6085.5432791496190  19.179092863705883
5.9998955559224  RD0109  6059.3871232592810  6278.5513423891260  6124.8962666110450  19.526609358873305
5.9866986835483  RD0110  6070.5744118545580  6290.5982733456110  6136.4928247797230  19.516142853937197
5.9285942497514  RD0111  6120.8299199801550  6343.8869181225400  6188.1842261803450  19.988151225596468
5.8713943394201  RD0112  6171.1295958766580  6397.5898490666060  6240.4555170058575  20.244228221651035
5.8147943982658  RD0113  6222.1642712352280  6452.7719894466300  6292.7168827477820  20.459871939234837
5.7585944383105  RD0114  6273.0209351062840  6508.5535061981060  6345.6716050776900  21.013254743946334
5.7028944875638  RD0115  6324.3082606447515  6564.5947962303730  6399.5145893687590  21.404313389046067
