z     ndz_pdf      ndz_cum
4.44  0.99673879   117058
4.45  0.99692612   117080
4.46  0.99698572   117087
4.47  0.99709641   117100
4.48  0.99718156   117110
4.49  0.99729226   117123
4.50  0.99734335   117129
4.51  0.99745404   117142
4.52  0.99753919   117152
4.53  0.99762434   117162
4.54  0.99770097   117171
4.55  0.99779464   117182
4.56  0.99789682   117194
4.57  0.99798197   117204
4.58  0.99805860   117213
4.59  0.99816078   117225
4.60  0.99824593   117235
4.61  0.99830553   117242
4.62  0.99833959   117246
4.63  0.99841623   117255
4.64  0.99848435   117263
4.65  0.99853543   117269
4.66  0.99859504   117276
4.67  0.99864613   117282
4.68  0.99868870   117287
4.69  0.99873979   117293
4.70  0.99880791   117301
4.71  0.99886752   117308
4.72  0.99891861   117314
4.73  0.99895267   117318
4.74  0.99898673   117322
4.75  0.99903781   117328
4.76  0.99908890   117334
4.77  0.99915702   117342
4.78  0.99919960   117347
4.79  0.99925069   117353
4.80  0.99930178   117359
4.81  0.99933584   117363
4.82  0.99936990   117367
4.83  0.99943802   117375
4.84  0.99945505   117377
4.85  0.99949762   117382
4.86  0.99955722   117389
4.87  0.99959128   117393
4.88  0.99960831   117395
4.89  0.99967643   117403
4.90  0.99969346   117405
4.91  0.99971049   117407
4.92  0.99971049   117407
4.93  0.99972752   117409
4.94  0.99974455   117411
4.95  0.99976158   117413
4.96  0.99977861   117415
4.97  0.99979564   117417
4.98  0.99982119   117420
4.99  0.99983822   117422
5.00  0.99986376   117425
5.01  0.99987228   117426
5.02  0.99987228   117426
5.03  0.99988931   117428
5.04  0.99988931   117428
5.05  0.99989782   117429
5.06  0.99990634   117430
5.07  0.99994040   117434
5.08  0.99995743   117436
5.09  1.00000000   117441
